subject,day,condition,choice_correct,confidence
sub15,2,unpredictable,False,2
sub15,2,predictable,True,7
sub15,2,unpredictable,False,2
sub15,2,unpredictable,False,1
sub15,2,predictable,False,2
sub15,2,predictable,True,7
sub16,2,unpredictable,True,2
sub16,2,unpredictable,True,1
sub16,2,unpredictable,False,2
sub16,2,unpredictable,False,1
sub16,2,unpredictable,True,1
sub16,2,predictable,False,1
sub16,2,unpredictable,False,1
sub16,2,predictable,True,7
sub16,2,predictable,True,7
sub16,2,unpredictable,True,2
sub16,2,predictable,True,6
sub16,2,predictable,True,6
sub16,2,predictable,True,5
sub16,2,predictable,True,7
sub16,2,unpredictable,False,1
sub16,2,predictable,True,3
sub17,2,unpredictable,False,3
sub17,2,unpredictable,True,3
sub17,2,unpredictable,False,3
sub17,2,unpredictable,False,3
sub17,2,predictable,True,7
sub17,2,predictable,True,3
sub17,2,predictable,False,3
sub17,2,predictable,False,3
sub17,2,unpredictable,False,3
sub17,2,predictable,False,3
sub17,2,predictable,False,3
sub17,2,unpredictable,False,3
sub17,2,unpredictable,False,2
sub17,2,predictable,False,3
